[2015-05-05 19:31:35] Строка 22854 (гуид da86d6e0-7c67-11e4-b8ce-00265519c7ff, тип Расторжение Договора Аренды)  не импортирована, т.к. не указан контрагент 
[2015-05-05 19:31:35] Строка 22884 (гуид 8fdd896b-13f1-11e4-b9a3-00265519c7ff, тип Расторжение Договора Аренды)  не импортирована, т.к. не указан договор аренды
[2015-05-05 19:32:11] Строка 5483 (гуид daeeea46-2031-11e1-9d42-00155d01db4a, тип Договор)  не импортирована, т.к. не указа организация 
[2015-05-05 19:32:11] Строка 8388 (гуид 5f7bd267-ab59-11e3-97a6-0026551bcbef, тип Договор)  не импортирована, т.к. не указн контрагент 
[2015-05-05 19:32:11] Строка 8403 (гуид ecbea497-ab63-11e3-97a6-0026551bcbef, тип Договор)  не импортирована, т.к. не указн контрагент 
[2015-05-05 19:32:11] Строка 15818 (гуид daeeea46-2031-11e1-9d42-00155d01db4a, тип Договор)  не импортирована, т.к. не указа организация 
[2015-05-05 19:32:11] Строка 18723 (гуид 5f7bd267-ab59-11e3-97a6-0026551bcbef, тип Договор)  не импортирована, т.к. не указн контрагент 
[2015-05-05 19:32:11] Строка 18738 (гуид ecbea497-ab63-11e3-97a6-0026551bcbef, тип Договор)  не импортирована, т.к. не указн контрагент 
[2015-05-05 19:32:11] Строка 9580 (гуид 5860cd83-e22a-11e2-976a-001dd8b71c11, тип Договор Аренды)  не импортирована, т.к. не указ контрагент 
[2015-05-05 19:32:11] Строка 9994 (гуид 4c2f7ce7-b7cf-11e2-8ec8-00155d016a13, тип Договор Аренды)  не импортирована, т.к. не указ контрагент 
[2015-05-05 19:32:11] Строка 10294 (гуид 10b33dff-b6d0-11e2-aca8-00155d016a13, тип Договор Аренды)  не импортирована, т.к. не указ контрагент 
[2015-05-05 19:32:11] Строка 10296 (гуид 10b33e07-b6d0-11e2-aca8-00155d016a13, тип Договор Аренды)  не импортирована, т.к. не указ контрагент 
[2015-05-05 19:32:11] Строка 10602 (гуид 6a38aa80-c29d-11e2-bc8b-00155d016a13, тип Договор Аренды)  не импортирована, т.к. не указ контрагент 
[2015-05-05 19:32:11] Строка 10851 (гуид 046311f9-cda2-11e2-a7bb-001dd8b71c11, тип Договор Аренды)  не импортирована, т.к. не указ договор 
[2015-05-05 19:32:11] Строка 10852 (гуид 046311ff-cda2-11e2-a7bb-001dd8b71c11, тип Договор Аренды)  не импортирована, т.к. не указ договор 
[2015-05-05 19:32:11] Строка 10855 (гуид 04631214-cda2-11e2-a7bb-001dd8b71c11, тип Договор Аренды)  не импортирована, т.к. не указ договор 
[2015-05-05 19:32:11] Строка 19915 (гуид 5860cd83-e22a-11e2-976a-001dd8b71c11, тип Договор Аренды)  не импортирована, т.к. не указ контрагент 
